Food_code,Seq_num,Additional_food_description,Start_date,End_date
11531000,2,made with whole milk,2017-01-01,2018-12-31
11541110,3,regular ice cream and/or whole or 2% reduced fat milk,2017-01-01,2018-12-31
11541110,4,restaurant or ice cream shop,2017-01-01,2018-12-31
11541110,5,frozen mix,2017-01-01,2018-12-31
11541120,3,regular ice cream and/or whole or 2% reduced fat milk,2017-01-01,2018-12-31
11541120,4,restaurant or ice cream shop,2017-01-01,2018-12-31
11541120,5,frozen mix,2017-01-01,2018-12-31
11541120,6,NS as to flavor,2017-01-01,2018-12-31
11541130,1,"reduced fat ice cream and/or 1% low fat, skim, nonfat, or fat free milk",2017-01-01,2018-12-31
11541130,2,restaurant or ice cream shop,2017-01-01,2018-12-31
11541135,1,"reduced fat ice cream and/or 1% low fat, skim, nonfat, fat free milk",2017-01-01,2018-12-31
11541135,2,restaurant or ice cream shop,2017-01-01,2018-12-31
11541135,3,NS as to flavor,2017-01-01,2018-12-31
11541400,1,malted milk with ice cream,2017-01-01,2018-12-31
11542100,4,Burger King,2017-01-01,2018-12-31
11542100,5,Dairy Queen,2017-01-01,2018-12-31
11542100,8,McDonald's,2017-01-01,2018-12-31
11542100,9,Wendy's Frosty Shakes,2017-01-01,2018-12-31
11542100,10,Jack in the Box,2017-01-01,2018-12-31
11542100,11,Arby's,2017-01-01,2018-12-31
11542100,12,Dunkin Donuts,2017-01-01,2018-12-31
11542100,13,Sonic,2017-01-01,2018-12-31
11542100,14,from other place,2017-01-01,2018-12-31
11542200,3,Burger King,2017-01-01,2018-12-31
11542200,4,Dairy Queen,2017-01-01,2018-12-31
11542200,5,McDonald's,2017-01-01,2018-12-31
11542200,6,Wendy's Frosty Shakes,2017-01-01,2018-12-31
11542200,7,Jack in the Box,2017-01-01,2018-12-31
11542200,8,Arby's,2017-01-01,2018-12-31
11542200,9,Dunkin Donuts,2017-01-01,2018-12-31
11542200,10,Sonic,2017-01-01,2018-12-31
11542200,11,from other place,2017-01-01,2018-12-31
11542200,12,NS as to flavor or type,2017-01-01,2018-12-31
11543000,1,canned,2017-01-01,2018-12-31
11543000,2,reconstituted dry mix,2017-01-01,2018-12-31
11543000,3,Hershey's,2017-01-01,2018-12-31
11543000,4,Chug,2017-01-01,2018-12-31
11543010,1,canned,2017-01-01,2018-12-31
11543010,2,reconstituted dry mix,2017-01-01,2018-12-31
11543010,3,Hershey's,2017-01-01,2018-12-31
11543010,4,Chug,2017-01-01,2018-12-31
11551050,2,milk fruit drink,2017-01-01,2018-12-31
11553110,1,"with milk, yogurt, ice cream, or sherbet",2017-01-01,2018-12-31
11553110,2,home recipe,2017-01-01,2018-12-31
11553110,3,restaurant,2017-01-01,2018-12-31
11553110,4,smoothie shop,2017-01-01,2018-12-31
11553110,5,juice bar,2017-01-01,2018-12-31
11553110,6,Jamba Juice,2017-01-01,2018-12-31
11553110,7,Smoothie King,2017-01-01,2018-12-31
11553120,1,"with milk, yogurt, ice cream, or sherbet",2017-01-01,2018-12-31
11553120,2,home recipe,2017-01-01,2018-12-31
11553120,3,restaurant,2017-01-01,2018-12-31
11553120,4,smoothie shop,2017-01-01,2018-12-31
11553120,5,juice bar,2017-01-01,2018-12-31
11553120,6,Jamba Juice,2017-01-01,2018-12-31
11553120,7,Smoothie King,2017-01-01,2018-12-31
11553130,1,"milk, yogurt, ice cream, or sherbet",2017-01-01,2018-12-31
11553130,2,"fast food smoothie, NFS",2017-01-01,2018-12-31
11553130,3,Dairy Queen,2017-01-01,2018-12-31
11553130,4,Jack-in-the-Box,2017-01-01,2018-12-31
11553130,5,frozen mix,2017-01-01,2018-12-31
11553130,6,Orange Julius,2017-01-01,2018-12-31
11553130,7,"Julius, all flavors",2017-01-01,2018-12-31
11553130,8,from other place,2017-01-01,2018-12-31
11553130,10,"McDonald's Smoothies, NFS",2017-01-01,2018-12-31
11560000,2,Yoo-hoo,2017-01-01,2018-12-31
11560000,3,other flavors,2017-01-01,2018-12-31
11710050,1,Similac Alimentum,2017-01-01,2018-12-31
11710051,1,Similac Alimentum,2017-01-01,2018-12-31
11710053,1,Similac Alimentum,2017-01-01,2018-12-31
11710054,1,made with filtered tap water or well water,2017-01-01,2018-12-31
11710054,2,Similac Alimentum,2017-01-01,2018-12-31
11710055,1,Similac Alimentum,2017-01-01,2018-12-31
11710055,3,made with bottled spring water,2017-01-01,2018-12-31
11710056,1,Similac Alimentum,2017-01-01,2018-12-31
11710056,3,made with Nursery water,2017-01-01,2018-12-31
11710056,4,Gerber Pure Water,2017-01-01,2018-12-31
11710056,5,Beech Nut Spring Water,2017-01-01,2018-12-31
11710350,1,Similac Advance EarlyShield,2017-01-01,2018-12-31
